Model,Num,EthnicitySelf,GenderSelf,Prototypic Mean,Attractive Mean,AgeRated,FemaleProb,MaleProb,BlackProb,MultiProb,OtherProb,WhiteProb,Afraid,Angry,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine
BF-005,1,B,F,3.00,4.08,28.12,1.00,0.00,0.81,0.05,0.05,0.00,1.75,2.41,2.03,2.33,3.11,4.79,2.90,1.86
BF-013,2,B,F,3.14,4.78,18.32,1.00,0.00,0.95,0.01,0.01,0.00,1.87,1.81,3.99,1.69,2.39,5.47,3.53,1.48
BF-228,3,B,F,3.39,4.10,36.10,1.00,0.00,1.00,0.00,0.00,0.00,2.07,2.45,2.17,2.21,3.25,4.90,4.34,2.28
BF-251,4,B,F,3.48,4.19,38.07,1.00,0.00,0.93,0.07,0.00,0.00,1.26,1.78,1.70,1.44,2.70,5.07,4.19,1.37
BF-049,5,B,F,3.50,4.45,20.83,0.99,0.01,0.96,0.01,0.01,0.00,2.10,1.90,3.61,2.01,2.07,5.21,3.56,1.74
BF-210,6,B,F,3.50,4.07,24.00,1.00,0.00,0.96,0.04,0.00,0.00,1.56,1.56,2.81,1.81,2.11,4.96,3.54,1.63
BF-008,7,B,F,3.59,3.07,24.57,1.00,0.00,0.99,0.00,0.00,0.00,1.85,2.09,2.74,2.05,2.40,3.99,3.10,2.34
BF-009,8,B,F,3.60,2.77,30.07,1.00,0.00,0.96,0.01,0.01,0.00,2.00,2.78,2.00,2.80,2.73,3.80,2.06,2.51
BF-030,9,B,F,3.64,3.74,22.98,0.99,0.01,0.96,0.00,0.02,0.00,2.08,2.09,2.94,2.08,2.66,4.72,2.70,2.12
BF-010,10,B,F,3.74,2.72,29.20,1.00,0.00,1.00,0.00,0.00,0.00,1.78,1.84,1.91,1.93,2.18,4.10,3.44,2.54
BF-002,11,B,F,3.76,4.89,21.34,1.00,0.00,0.98,0.01,0.01,0.00,1.83,2.15,2.63,1.80,2.15,5.40,2.83,1.56
BF-011,12,B,F,3.80,2.99,28.59,1.00,0.00,0.98,0.01,0.00,0.00,2.59,2.70,2.15,2.56,2.63,4.05,2.28,2.54
BF-050,13,B,F,3.86,3.79,22.38,0.98,0.02,0.99,0.00,0.01,0.00,2.51,3.43,2.64,3.09,3.11,4.76,2.39,2.11
BF-012,14,B,F,3.88,2.16,26.78,0.99,0.01,0.95,0.01,0.04,0.00,2.57,3.33,2.88,3.03,3.28,3.29,1.83,3.09
BF-048,15,B,F,3.90,2.68,30.76,0.99,0.01,0.97,0.01,0.02,0.00,2.12,2.03,1.93,1.74,2.60,3.49,2.49,2.65
BF-001,16,B,F,3.95,2.73,28.49,1.00,0.00,1.00,0.00,0.00,0.00,2.08,2.35,2.54,2.06,2.00,3.89,2.26,2.61
BF-208,17,B,F,3.95,3.37,26.13,0.97,0.03,0.97,0.03,0.00,0.00,2.07,2.37,2.10,2.03,2.73,4.43,1.70,2.00
BF-006,18,B,F,3.96,3.38,27.93,0.99,0.01,0.96,0.00,0.02,0.00,1.86,1.88,3.14,1.73,2.74,4.53,3.63,2.43
BF-004,19,B,F,4.05,2.71,26.98,1.00,0.00,1.00,0.00,0.00,0.00,2.52,3.08,2.38,2.70,2.62,3.74,1.79,2.50
BF-034,20,B,F,4.51,2.24,26.30,0.95,0.05,0.97,0.01,0.01,0.00,2.28,3.10,2.99,2.54,4.08,3.16,2.19,3.21
BM-253,1,B,M,3.25,2.96,31.88,0.13,0.88,0.92,0.08,0.00,0.00,2.29,2.21,2.96,2.29,1.96,3.04,3.13,2.57
BM-009,2,B,M,3.27,2.91,18.48,0.00,1.00,0.92,0.02,0.02,0.00,2.22,2.74,3.49,2.39,2.54,1.61,1.98,4.41
BM-030,3,B,M,3.27,3.45,25.26,0.01,0.99,0.83,0.02,0.03,0.00,1.65,1.74,2.98,1.62,2.38,1.74,3.99,5.01
BM-217,4,B,M,3.27,2.86,24.66,0.00,1.00,0.97,0.03,0.00,0.00,1.48,1.28,2.24,1.17,2.75,1.45,3.55,4.93
BM-237,5,B,M,3.41,3.96,25.96,0.00,1.00,0.92,0.08,0.00,0.00,1.81,1.77,2.15,1.35,3.48,1.54,2.50,5.19
BM-003,6,B,M,3.65,2.38,23.81,0.01,0.99,0.98,0.00,0.00,0.00,2.15,4.03,2.77,3.11,4.20,1.26,1.57,5.37
BM-249,7,B,M,3.69,4.56,19.07,0.00,1.00,1.00,0.00,0.00,0.00,2.19,2.00,4.37,1.85,2.92,2.19,3.11,4.74
BM-231,8,B,M,3.74,3.73,32.42,0.04,0.96,0.88,0.12,0.00,0.00,1.96,2.27,1.85,1.77,3.80,1.50,2.27,4.92
BM-026,9,B,M,3.77,3.90,26.99,0.00,1.00,0.97,0.00,0.01,0.00,1.67,2.67,2.28,2.20,3.72,1.46,2.77,5.50
BM-022,10,B,M,3.80,3.79,33.11,0.00,1.00,1.00,0.00,0.00,0.00,2.11,2.41,1.89,2.09,4.07,1.69,2.41,5.10
BM-244,11,B,M,3.89,3.04,46.58,0.00,1.00,0.96,0.04,0.00,0.00,1.76,2.40,1.56,2.04,4.12,1.24,2.12,5.84
BM-043,12,B,M,3.90,4.85,24.72,0.00,1.00,0.93,0.03,0.00,0.00,1.68,1.63,2.75,1.43,3.71,1.68,3.36,5.70
BM-207,13,B,M,3.90,2.89,23.93,0.00,1.00,0.96,0.00,0.00,0.00,1.71,2.04,2.89,1.57,2.85,1.33,2.75,4.36
BM-001,14,B,M,3.91,2.85,26.09,0.00,1.00,1.00,0.00,0.00,0.00,2.91,3.22,2.17,2.16,3.23,1.40,1.89,5.25
BM-033,15,B,M,4.02,2.81,39.05,0.00,1.00,0.93,0.01,0.01,0.00,2.16,2.74,2.30,2.27,3.67,1.40,2.51,5.20
BM-034,16,B,M,4.04,3.14,40.61,0.02,0.98,0.96,0.01,0.02,0.00,2.32,2.37,2.27,2.18,3.89,1.70,2.76,5.12
BM-215,17,B,M,4.14,4.12,22.42,0.00,1.00,0.96,0.04,0.00,0.00,1.72,2.15,2.72,1.50,3.54,1.35,2.62,5.27
BM-019,18,B,M,4.15,3.88,21.61,0.01,0.99,0.99,0.00,0.01,0.00,1.68,1.61,2.90,1.58,2.68,1.69,3.52,4.92
BM-236,19,B,M,4.19,3.61,38.36,0.00,1.00,1.00,0.00,0.00,0.00,1.85,1.50,1.93,2.11,4.14,1.54,3.93,5.46
BM-210,20,B,M,4.56,3.58,29.23,0.00,1.00,1.00,0.00,0.00,0.00,2.10,3.21,1.58,2.27,4.35,1.16,2.10,5.35
WF-206,1,W,F,2.54,4.52,28.07,1.00,0.00,0.00,0.17,0.00,0.72,1.93,4.07,1.93,3.17,3.62,5.57,1.69,1.83
WF-202,2,W,F,2.67,3.62,27.97,1.00,0.00,0.00,0.07,0.00,0.83,2.45,2.93,2.38,2.45,2.97,4.90,2.45,1.97
WF-242,3,W,F,2.67,4.75,27.29,0.96,0.04,0.00,0.00,0.07,0.86,1.61,1.57,2.36,1.43,2.15,5.54,3.54,1.32
WF-215,4,W,F,2.70,3.28,30.64,1.00,0.00,0.00,0.04,0.00,0.92,1.68,2.28,1.68,2.32,2.36,4.25,2.80,2.24
WF-023,5,W,F,2.84,2.74,32.74,1.00,0.00,0.00,0.02,0.02,0.85,2.22,2.07,2.49,1.89,2.42,3.96,3.05,2.37
WF-201,6,W,F,2.86,3.82,27.00,0.91,0.09,0.00,0.05,0.00,0.86,1.77,3.64,1.68,3.00,4.19,4.55,1.77,2.55
WF-236,7,W,F,2.89,4.58,26.38,1.00,0.00,0.00,0.16,0.04,0.72,1.69,1.58,2.62,1.72,2.25,5.54,3.23,1.50
WF-248,8,W,F,3.06,2.00,29.44,1.00,0.00,0.00,0.04,0.00,0.96,2.11,1.81,2.31,1.65,2.30,3.52,2.19,2.41
WF-226,9,W,F,3.11,2.71,32.24,1.00,0.00,0.00,0.00,0.05,0.86,1.62,2.10,2.33,1.80,2.19,4.14,1.90,1.79
WF-245,10,W,F,3.11,3.43,35.71,1.00,0.00,0.04,0.18,0.00,0.79,1.96,2.54,1.70,2.32,2.75,4.61,2.11,1.67
WF-251,11,W,F,3.16,3.22,50.43,1.00,0.00,0.00,0.00,0.00,0.96,1.57,1.91,1.17,1.78,2.13,4.87,3.57,1.26
WF-218,12,W,F,3.18,3.62,28.97,1.00,0.00,0.00,0.00,0.00,1.00,2.00,2.45,2.24,2.24,2.57,4.66,2.45,1.83
WF-022,13,W,F,3.74,5.09,19.91,1.00,0.00,0.00,0.00,0.01,0.96,2.08,1.74,3.74,1.74,1.97,5.58,3.21,1.43
WF-017,14,W,F,3.82,3.28,23.30,1.00,0.00,0.00,0.00,0.02,0.96,2.17,2.29,2.81,2.09,2.65,4.36,2.79,2.40
WF-227,15,W,F,3.84,3.77,26.93,1.00,0.00,0.00,0.04,0.04,0.92,2.00,2.74,1.89,2.00,3.26,4.67,2.07,1.93
WF-033,16,W,F,3.91,3.39,32.04,1.00,0.00,0.00,0.00,0.00,0.99,1.96,2.21,2.36,2.00,2.50,4.52,2.80,2.24
WF-021,17,W,F,3.93,3.93,25.69,0.99,0.01,0.00,0.00,0.01,0.97,2.49,3.29,2.82,2.93,2.67,4.75,2.21,2.36
WF-209,18,W,F,4.35,4.66,27.79,0.97,0.03,0.00,0.03,0.00,0.97,1.64,1.76,3.00,1.62,2.14,5.28,3.69,1.45
WF-221,19,W,F,4.39,2.41,42.32,0.96,0.04,0.00,0.00,0.00,0.86,2.00,2.11,1.39,2.32,2.19,3.68,1.64,2.39
WF-001,20,W,F,4.27,3.11,24.95,0.97,0.03,0.00,1.00,0.00,0.00,2.25,3.20,1.99,2.58,3.00,3.86,2.07,3.01
WM-207,1,W,M,2.52,4.13,26.58,0.00,1.00,0.00,0.04,0.04,0.83,1.48,1.63,1.96,1.43,3.63,1.33,3.09,5.21
WM-218,2,W,M,2.60,2.86,25.82,0.00,1.00,0.00,0.07,0.07,0.82,1.54,2.07,1.86,1.57,2.50,1.36,1.89,4.39
WM-247,3,W,M,2.76,2.72,25.50,0.00,1.00,0.00,0.00,0.04,0.96,2.04,2.27,2.46,2.04,2.62,1.77,2.58,3.92
WM-217,4,W,M,2.81,3.08,18.73,0.00,1.00,0.00,0.15,0.00,0.77,2.50,3.46,4.23,2.27,2.81,2.77,1.85,3.46
WM-036,5,W,M,2.96,2.77,22.66,0.01,0.99,0.00,0.01,0.02,0.93,2.08,2.36,2.33,2.12,2.41,2.40,1.91,3.88
WM-257,6,W,M,3.08,3.74,30.04,0.00,1.00,0.00,0.04,0.00,0.85,1.93,1.33,2.28,1.19,2.19,1.81,2.52,4.35
WM-202,7,W,M,3.16,2.65,21.69,0.00,1.00,0.00,0.00,0.00,1.00,1.77,1.56,3.19,1.27,2.04,1.68,2.27,4.35
WM-236,8,W,M,3.17,2.04,20.73,0.00,1.00,0.00,0.00,0.04,0.96,1.69,1.50,3.81,1.31,1.56,2.77,1.92,2.84
WM-223,9,W,M,3.17,3.08,42.76,0.00,1.00,0.00,0.08,0.00,0.84,1.58,2.88,1.12,2.12,4.36,1.00,1.96,5.48
WM-242,10,W,M,3.25,4.03,23.07,0.00,1.00,0.00,0.10,0.00,0.86,1.76,2.57,2.31,2.72,2.83,1.76,1.72,4.21
WM-024,11,W,M,3.27,3.65,20.82,0.00,1.00,0.00,0.01,0.02,0.93,2.43,1.94,3.61,1.90,2.28,2.22,2.89,3.95
WM-035,12,W,M,3.36,2.16,20.71,0.00,1.00,0.00,0.00,0.00,0.97,2.59,3.84,3.03,3.43,2.96,1.73,1.90,4.48
WM-244,13,W,M,3.39,3.04,30.52,0.00,1.00,0.00,0.00,0.00,1.00,1.54,2.04,1.85,1.68,3.48,1.69,2.81,5.11
WM-018,14,W,M,3.41,2.70,36.16,0.00,1.00,0.00,0.00,0.00,0.99,1.89,2.44,1.78,2.14,3.52,1.56,2.40,5.03
WM-009,15,W,M,3.49,4.08,23.70,0.00,1.00,0.00,0.00,0.01,0.87,2.12,2.78,2.91,2.38,3.35,2.03,2.26,4.73
WM-220,16,W,M,3.79,2.52,37.22,0.00,1.00,0.00,0.00,0.00,1.00,1.93,3.74,1.85,2.44,4.62,1.41,2.31,5.07
WM-245,17,W,M,3.96,3.36,26.28,0.00,1.00,0.00,0.00,0.00,1.00,2.59,2.93,2.14,2.71,2.86,1.34,1.45,4.62
WM-212,18,W,M,3.96,3.70,30.11,0.00,1.00,0.00,0.00,0.00,1.00,1.96,3.33,2.30,2.88,4.11,1.81,1.93,4.96
WM-201,19,W,M,4.02,1.73,38.91,0.00,1.00,0.00,0.00,0.00,1.00,1.73,2.00,2.78,1.91,2.74,1.36,2.64,4.64
WM-234,20,W,M,4.26,2.55,23.31,0.00,1.00,0.00,0.00,0.00,1.00,1.86,2.86,2.72,2.00,3.11,1.59,2.14,4.52
